BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
City union Bank,2010-11,Private,1.25,0.5,60.3,12.48,11.95,215
City union Bank,2011-12,Private,1.21,0.44,64.1,12.58,12.08,280
City union Bank,2012-13,Private,1.13,0.63,45,13.98,13.51,322
City union Bank,2013-14,Private,1.81,1.23,33,15.01,14.61,347
City union Bank,2014-15,Private,1.86,1.3,31,16.52,16.14,395
City union Bank,2015-16,Private,2.52,1.53,40,15.58,15.1,442
City union Bank,2016-17,Private,2.83,1.71,40,15.53,14.88,503
City union Bank,2017-18,Private,3.03,1.7,44,16.22,15.79,592
City union Bank,2018-19,Private,2.95,1.81,39,15.55,15.03,683
City union Bank,2019-20,Private,3.91,2.29,42,16.76,15.8,476
City union Bank,2020-21,Private,5.11,2.97,43,19.52,18.45,593
City union Bank,2021-22,Private,4.7,2.95,38,20.85,19.78,760
City union Bank,2022-23,Private,4.37,2.36,47,22.34,21.27,937
City union Bank,2023-24,Private,3.99,1.97,51,23.73,22.69,1016
City union Bank,2024-25,Private,3.09,1.25,60,23.75,22.7,1124
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
HDFC,2005-2006,Private,1.4,0.44,68.6,11.41,9,871
HDFC,2006-2007,Private,1.3,0.43,66.9,13.08,8.6,1141
HDFC,2007-2008,Private,1.3,0.47,63.8,13.6,10.3,1590
HDFC,2008-2009,Private,1.98,0.63,68.2,15.09,10.58,2245
HDFC,2009-2010,Private,1.43,0.31,78.4,17.44,13.3,3003
HDFC,2010-2011,Private,1.05,0.19,82.5,16.22,12.2,3926
HDFC,2011-2012,Private,1.02,0.18,82.4,16.52,11.6,5167
HDFC,2012-2013,Private,0.97,0.2,79.7,16.8,11.1,6726
HDFC,2013-2014,Private,0.98,0.27,73,16.07,11.8,8478
HDFC,2014-2015,Private,0.93,0.25,73.6,16.79,13.7,10216
HDFC,2015-2016,Private,0.94,0.28,70,15.53,13.2,12296
HDFC,2016-2017,Private,1.05,0.33,69,14.55,12.8,14550
HDFC,2017-2018,Private,1.3,0.4,69.8,14.82,13.25,17487
HDFC,2018-2019,Private,1.36,0.39,71.4,17.11,15.8,21078
HDFC,2019-2020,Private,1.26,0.36,72,18.52,17.2,26257
HDFC,2020-2021,Private,1.32,0.4,70,18.79,17.6,31116
HDFC,2021-2022,Private,1.17,0.32,73,18.9,17.9,36961
HDFC,2022-2023,Private,1.12,0.27,76,19.26,17.1,44109
HDFC,2023-2024,Private,1.24,0.33,74,18.8,16.8,60812
HDFC,2024-2025,Private,1.33,0.43,68,19.6,17.5,73440
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
BoB,2005-2006,PSB,3.9,0.87,78.41,13.65,9.04,827
BoB,2006-2007,PSB,2.47,0.6,76.04,11.8,8.31,1026
BoB,2007-2008,PSB,1.84,0.47,75.31,12.92,8.52,1436
BoB,2008-2009,PSB,1.27,0.31,75.83,14.05,9.38,2227
BoB,2009-2010,PSB,1.36,0.34,75.14,14.36,9.48,3058
BoB,2010-2011,PSB,1.36,0.35,74.9,14.52,9.97,4242
BoB,2011-2012,PSB,1.53,0.54,65.5,14.67,10.84,5007
BoB,2012-2013,PSB,2.4,1.28,68.2,13.3,10.13,4481
BoB,2013-2014,PSB,3.11,1.52,68.9,12.28,9.28,4541
BoB,2014-2015,PSB,3.72,1.89,64.6,12.6,9.87,3398
BoB,2015-2016,PSB,9.99,5.06,60.1,13.17,10.79,-5396
BoB,2016-2017,PSB,10.46,4.72,66.83,12.24,9.93,1383
BoB,2017-2018,PSB,12.26,5.49,67.21,12.13,10.46,-2432
BoB,2018-2019,PSB,9.63,3.33,78.68,13.42,11.55,433
BoB,2019-2020,PSB,9.4,3.13,81.33,13.3,10.71,546
BoB,2020-2021,PSB,8.87,3.09,81.8,14.99,12.67,829
BoB,2021-2022,PSB,6.61,1.72,88.71,15.98,13.49,7272
BoB,2022-2023,PSB,3.79,0.89,92.43,16.24,13.99,14110
BoB,2023-2024,PSB,2.92,0.68,93.3,16.31,14.05,17788
BoB,2024-2025,PSB,2.26,0.58,94.1,17.19,14.79,19581
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
Axis Bank,2005-06,Private,1.68,1.05,45.4,11.08,8.87,485
Axis Bank,2006-07,Private,1.1,0.61,54.4,11.53,7.91,659
Axis Bank,2007-08,Private,0.83,0.42,58.7,13.73,10.74,1071
Axis Bank,2008-09,Private,0.96,0.35,71,13.69,9.27,1815
Axis Bank,2009-10,Private,1.13,0.36,76.5,15.8,11.18,2515
Axis Bank,2010-11,Private,1.01,0.26,80.8,12.65,9.41,3388
Axis Bank,2011-12,Private,0.94,0.25,81,13.66,9.45,4242
Axis Bank,2012-13,Private,1.06,0.32,79,17,12.23,5179
Axis Bank,2013-14,Private,1.22,0.4,78,16.07,12.63,6218
Axis Bank,2014-15,Private,1.34,0.44,78,15.09,12.07,7358
Axis Bank,2015-16,Private,1.67,0.7,72,15.29,12.51,8224
Axis Bank,2016-17,Private,5.04,2.11,65,14.95,11.87,3679
Axis Bank,2017-18,Private,6.77,3.4,65,16.57,13.04,276
Axis Bank,2018-19,Private,5.26,2.06,77,15.84,11.27,4677
Axis Bank,2019-20,Private,4.86,1.56,69,17.53,14.49,1627
Axis Bank,2020-21,Private,3.7,1.05,72,19.12,16.47,6588
Axis Bank,2021-22,Private,2.82,0.73,75,18.54,15.24,13025
Axis Bank,2022-23,Private,2.02,0.39,81,17.64,14.57,9580
Axis Bank,2023-24,Private,1.43,0.31,79,16.63,14.2,24861
Axis Bank,2024-25,Private,1.28,0.33,75,17.07,15.07,26373
,,,,,,,,
,,,,,,,,
BANK,Year,Ownership,Gross NPA (%),Net NPA (%),Provision Coverage Ratio (%),CAR(%),Tier 1 Capital,Net Profit (cr)
Federal Bank,2005-06,Private,5.37,0.88,84.1,11.51,9.77,225
Federal Bank,2006-07,Private,3.65,0.35,90.6,11.96,10.36,293
Federal Bank,2007-08,Private,2.55,0.47,82.2,18.29,16.57,368
Federal Bank,2008-09,Private,2.53,0.5,80.8,20.37,18.73,501
Federal Bank,2009-10,Private,2.95,0.56,81.6,17.15,16.09,465
Federal Bank,2010-11,Private,3.48,0.6,83.2,15.65,14.77,587
Federal Bank,2011-12,Private,3.42,0.53,84.8,15.6,14.65,777
Federal Bank,2012-13,Private,3.44,0.98,72.3,14.73,13.79,838
Federal Bank,2013-14,Private,2.46,0.74,70.4,15.14,14.12,839
Federal Bank,2014-15,Private,2.04,0.73,64.9,15.46,14.54,1006
Federal Bank,2015-16,Private,2.84,1.64,72,13.93,13.06,476
Federal Bank,2016-17,Private,2.33,1.28,71.3,12.39,11.66,831
Federal Bank,2017-18,Private,3,1.69,66.8,14.7,14.07,879
Federal Bank,2018-19,Private,2.92,1.48,67.5,14.14,13.31,1244
Federal Bank,2019-20,Private,2.84,1.31,68.2,14.35,13.29,1543
Federal Bank,2020-21,Private,3.41,1.19,65.1,14.62,13.85,1590
Federal Bank,2021-22,Private,2.8,0.96,66,15.77,14.43,1890
Federal Bank,2022-23,Private,2.36,0.69,70.02,14.81,13.04,3011
Federal Bank,2023-24,Private,2.13,0.6,71.08,16.1,14.81,3721
Federal Bank,2024-25,Private,1.84,0.44,75.37,16.4,15.07,4052
